,date,product_detail,product_category,product_type,revenue
0,2023-01-01,Traditional Blend Chai Lg,Tea,Brewed Chai tea,51.0
1,2023-01-01,Ethiopia Rg,Coffee,Gourmet brewed coffee,48.0
2,2023-01-01,English Breakfast Rg,Tea,Brewed Black tea,17.5
3,2023-01-01,Our Old Time Diner Blend Sm,Coffee,Drip coffee,30.0
4,2023-01-01,Columbian Medium Roast Sm,Coffee,Gourmet brewed coffee,34.0
5,2023-01-01,Peppermint Lg,Tea,Brewed herbal tea,60.0
6,2023-01-01,Croissant,Bakery,Pastry,42.0
7,2023-01-01,Brazilian Lg,Coffee,Organic brewed coffee,70.0
8,2023-01-01,Jumbo Savory Scone,Bakery,Scone,32.83
9,2023-01-01,Our Old Time Diner Blend Lg,Coffee,Drip coffee,54.0
10,2023-01-01,Our Old Time Diner Blend Rg,Coffee,Drip coffee,52.5
11,2023-01-01,Ginger Scone,Bakery,Scone,28.42
12,2023-01-01,Traditional Blend Chai Rg,Tea,Brewed Chai tea,32.5
13,2023-01-01,Dark chocolate Lg,Drinking Chocolate,Hot chocolate,58.5
14,2023-01-01,Peppermint Rg,Tea,Brewed herbal tea,45.0
15,2023-01-01,Jamaican Coffee River Rg,Coffee,Premium brewed coffee,62.0
16,2023-01-01,Hazelnut Biscotti,Bakery,Biscotti,22.75
17,2023-01-01,Ouro Brasileiro shot,Coffee,Barista Espresso,21.0
18,2023-01-01,Latte Rg,Coffee,Barista Espresso,89.25
19,2023-01-01,Latte,Coffee,Barista Espresso,90.0
20,2023-01-01,Jamaican Coffee River Lg,Coffee,Premium brewed coffee,101.25
21,2023-01-01,Columbian Medium Roast Rg,Coffee,Gourmet brewed coffee,37.5
22,2023-01-01,Earl Grey Rg,Tea,Brewed Black tea,45.0
23,2023-01-01,English Breakfast Lg,Tea,Brewed Black tea,63.0
24,2023-01-01,Morning Sunrise Chai Rg,Tea,Brewed Chai tea,70.0
25,2023-01-01,Chocolate Croissant,Bakery,Pastry,30.0
26,2023-01-01,Brazilian Sm,Coffee,Organic brewed coffee,50.6
27,2023-01-01,Cappuccino,Coffee,Barista Espresso,90.0
28,2023-01-01,Jamaican Coffee River Sm,Coffee,Premium brewed coffee,39.2
29,2023-01-01,Sustainably Grown Organic Lg,Drinking Chocolate,Hot chocolate,76.0
30,2023-01-01,Serenity Green Tea Lg,Tea,Brewed Green tea,57.0
31,2023-01-01,Earl Grey Lg,Tea,Brewed Black tea,42.0
32,2023-01-01,Spicy Eye Opener Chai Rg,Tea,Brewed Chai tea,51.0
33,2023-01-01,Ethiopia Lg,Coffee,Gourmet brewed coffee,45.5
34,2023-01-01,Brazilian Rg,Coffee,Organic brewed coffee,42.0
35,2023-01-01,Chocolate Chip Biscotti,Bakery,Biscotti,24.5
36,2023-01-01,Almond Croissant,Bakery,Pastry,7.5
37,2023-01-01,Sustainably Grown Organic Rg,Drinking Chocolate,Hot chocolate,105.0
38,2023-01-01,Scottish Cream Scone ,Bakery,Scone,27.0
39,2023-01-01,Espresso shot,Coffee,Barista Espresso,45.0
40,2023-01-01,Columbian Medium Roast Lg,Coffee,Gourmet brewed coffee,51.0
41,2023-01-01,Lemon Grass Lg,Tea,Brewed herbal tea,60.0
42,2023-01-01,Spicy Eye Opener Chai Lg,Tea,Brewed Chai tea,49.6
43,2023-01-01,Cranberry Scone,Bakery,Scone,12.18
44,2023-01-01,Dark chocolate Rg,Drinking Chocolate,Hot chocolate,56.0
45,2023-01-01,Cappuccino Lg,Coffee,Barista Espresso,76.5
46,2023-01-01,Ginger Biscotti,Bakery,Biscotti,17.52
47,2023-01-01,Lemon Grass Rg,Tea,Brewed herbal tea,47.5
48,2023-01-01,Ethiopia Sm,Coffee,Gourmet brewed coffee,30.8
49,2023-01-01,Oatmeal Scone,Bakery,Scone,15.0
50,2023-01-01,Serenity Green Tea Rg,Tea,Brewed Green tea,40.0
51,2023-01-01,Morning Sunrise Chai Lg,Tea,Brewed Chai tea,80.0
52,2023-01-02,Sustainably Grown Organic Rg,Drinking Chocolate,Hot chocolate,60.0
53,2023-01-02,Chocolate Croissant,Bakery,Pastry,22.5
54,2023-01-02,Cranberry Scone,Bakery,Scone,36.54
55,2023-01-02,Jamaican Coffee River Sm,Coffee,Premium brewed coffee,46.55
56,2023-01-02,Sustainably Grown Organic Lg,Drinking Chocolate,Hot chocolate,76.0
57,2023-01-02,Lemon Grass Rg,Tea,Brewed herbal tea,32.5
58,2023-01-02,Almond Croissant,Bakery,Pastry,26.25
59,2023-01-02,English Breakfast Lg,Tea,Brewed Black tea,39.0
60,2023-01-02,Cappuccino Lg,Coffee,Barista Espresso,46.75
61,2023-01-02,Jumbo Savory Scone,Bakery,Scone,46.9
62,2023-01-02,Ginger Biscotti,Bakery,Biscotti,35.04
63,2023-01-02,Ethiopia Rg,Coffee,Gourmet brewed coffee,72.0
64,2023-01-02,Jamaican Coffee River Rg,Coffee,Premium brewed coffee,21.7
65,2023-01-02,Ethiopia Sm,Coffee,Gourmet brewed coffee,39.6
66,2023-01-02,Earl Grey Rg,Tea,Brewed Black tea,42.5
67,2023-01-02,Traditional Blend Chai Rg,Tea,Brewed Chai tea,72.5
68,2023-01-02,Latte,Coffee,Barista Espresso,45.0
69,2023-01-02,Espresso shot,Coffee,Barista Espresso,48.0
70,2023-01-02,Columbian Medium Roast Lg,Coffee,Gourmet brewed coffee,54.0
71,2023-01-02,Ethiopia Lg,Coffee,Gourmet brewed coffee,59.5
72,2023-01-02,Lemon Grass Lg,Tea,Brewed herbal tea,45.0
73,2023-01-02,Spicy Eye Opener Chai Lg,Tea,Brewed Chai tea,37.2
74,2023-01-02,Cappuccino,Coffee,Barista Espresso,48.75
75,2023-01-02,Morning Sunrise Chai Lg,Tea,Brewed Chai tea,60.0
76,2023-01-02,Our Old Time Diner Blend Lg,Coffee,Drip coffee,54.0
77,2023-01-02,Chocolate Chip Biscotti,Bakery,Biscotti,21.0
78,2023-01-02,Columbian Medium Roast Rg,Coffee,Gourmet brewed coffee,37.5
79,2023-01-02,Brazilian Rg,Coffee,Organic brewed coffee,81.0
80,2023-01-02,Ouro Brasileiro shot,Coffee,Barista Espresso,48.0
81,2023-01-02,Hazelnut Biscotti,Bakery,Biscotti,22.75
82,2023-01-02,Peppermint Rg,Tea,Brewed herbal tea,42.5
83,2023-01-02,Dark chocolate Rg,Drinking Chocolate,Hot chocolate,35.0
84,2023-01-02,Serenity Green Tea Lg,Tea,Brewed Green tea,63.0
85,2023-01-02,Earl Grey Lg,Tea,Brewed Black tea,54.0
86,2023-01-02,Ginger Scone,Bakery,Scone,32.48
87,2023-01-02,Peppermint Lg,Tea,Brewed herbal tea,36.0
88,2023-01-02,Our Old Time Diner Blend Rg,Coffee,Drip coffee,60.0
89,2023-01-02,Our Old Time Diner Blend Sm,Coffee,Drip coffee,40.0
90,2023-01-02,Latte Rg,Coffee,Barista Espresso,68.0
91,2023-01-02,Traditional Blend Chai Lg,Tea,Brewed Chai tea,54.0
92,2023-01-02,Dark chocolate Lg,Drinking Chocolate,Hot chocolate,49.5
93,2023-01-02,Jamaican Coffee River Lg,Coffee,Premium brewed coffee,67.5
94,2023-01-02,English Breakfast Rg,Tea,Brewed Black tea,57.5
95,2023-01-02,Brazilian Sm,Coffee,Organic brewed coffee,48.4
96,2023-01-02,Serenity Green Tea Rg,Tea,Brewed Green tea,60.0
97,2023-01-02,Spicy Eye Opener Chai Rg,Tea,Brewed Chai tea,33.15
98,2023-01-02,Oatmeal Scone,Bakery,Scone,21.0
99,2023-01-02,Scottish Cream Scone ,Bakery,Scone,40.5
100,2023-01-02,Morning Sunrise Chai Rg,Tea,Brewed Chai tea,35.0
101,2023-01-02,Columbian Medium Roast Sm,Coffee,Gourmet brewed coffee,46.0
102,2023-01-02,Brazilian Lg,Coffee,Organic brewed coffee,77.0
103,2023-01-02,Croissant,Bakery,Pastry,35.0
104,2023-01-03,Hazelnut Biscotti,Bakery,Biscotti,19.5
105,2023-01-03,Ethiopia Rg,Coffee,Gourmet brewed coffee,51.0
106,2023-01-03,Lemon Grass Rg,Tea,Brewed herbal tea,35.0
107,2023-01-03,Traditional Blend Chai Rg,Tea,Brewed Chai tea,40.0
108,2023-01-03,Ginger Scone,Bakery,Scone,40.6
109,2023-01-03,Spicy Eye Opener Chai Rg,Tea,Brewed Chai tea,43.35
110,2023-01-03,Our Old Time Diner Blend Sm,Coffee,Drip coffee,42.0
111,2023-01-03,Morning Sunrise Chai Rg,Tea,Brewed Chai tea,70.0
112,2023-01-03,Brazilian Rg,Coffee,Organic brewed coffee,69.0
113,2023-01-03,Jumbo Savory Scone,Bakery,Scone,32.83
114,2023-01-03,Ethiopia Lg,Coffee,Gourmet brewed coffee,35.0
115,2023-01-03,Croissant,Bakery,Pastry,28.0
116,2023-01-03,Serenity Green Tea Rg,Tea,Brewed Green tea,52.5
117,2023-01-03,Traditional Blend Chai Lg,Tea,Brewed Chai tea,39.0
118,2023-01-03,Ouro Brasileiro shot,Coffee,Barista Espresso,42.0
119,2023-01-03,Dark chocolate Lg,Drinking Chocolate,Hot chocolate,130.5
120,2023-01-03,Peppermint Lg,Tea,Brewed herbal tea,57.0
121,2023-01-03,Serenity Green Tea Lg,Tea,Brewed Green tea,51.0
122,2023-01-03,Earl Grey Lg,Tea,Brewed Black tea,60.0
123,2023-01-03,Chocolate Croissant,Bakery,Pastry,22.5
124,2023-01-03,Cappuccino Lg,Coffee,Barista Espresso,51.0
125,2023-01-03,Cranberry Scone,Bakery,Scone,20.3
126,2023-01-03,Espresso shot,Coffee,Barista Espresso,84.0
127,2023-01-03,Ethiopia Sm,Coffee,Gourmet brewed coffee,26.4
128,2023-01-03,Dark chocolate Rg,Drinking Chocolate,Hot chocolate,52.5
129,2023-01-03,Ginger Biscotti,Bakery,Biscotti,35.04
130,2023-01-03,English Breakfast Rg,Tea,Brewed Black tea,50.0
